"Id","CouFips","CouName","TotPop","BlkPop","Area","Perimeter","WLong","ELong","SLat","NLat","CentroidLong","CentroidLat","CPopLong","CPopLat","USPVotesDem","USPVotesRep","USPVotes3rd","USSVotesDem","USSVotesRep","USSVotes3rd","ATTVotesDem","ATTVotesRep","ATTVotes3rd","AUDVotesDem","AUDVotesRep","AUDVotes3rd","TREVotesDem","TREVotesRep","TREVotes3rd"
"059","059","Greene",38686,1282,1496954863.05919,189326.183734052,-80.519497,-79.903179,39.720671,40.02059,-80.2228738440216,39.8537998261785,-80.1208827223826,39.8770791546882,4482,10849,433,5692,8826,896,6548,8618,0,6547,7489,963,6734,7175,988
"047","047","Elk",31946,89,2155674842.77131,242345.460120361,-79.095183,-78.234602,41.201859,41.629898,-78.6490862634555,41.4252272885321,-78.6162762423766,41.4227326896211,3853,10025,548,4509,8703,1111,5404,8722,0,5425,7784,865,5456,7637,946
"131","131","Wyoming",28276,208,1049050484.95157,139499.419201645,-76.2831,-75.718512,41.376517,41.651825,-76.0165514313059,41.5183294790589,-75.939681147571,41.5392547498378,3811,8837,496,4154,7844,1068,4459,8354,0,4059,7579,1129,4307,7467,989
"067","067","Juniata",24636,151,1019199139.12561,194485.099471482,-77.75212,-76.939465,40.263576,40.693595,-77.4021626487477,40.5310649137969,-77.3338137048339,40.5734274291488,1821,8273,360,2153,7657,612,2621,7644,0,2706,6883,644,2572,6922,680
"093","093","Montour",18267,256,342734165.735723,104206.481802931,-76.794246,-76.512421,40.882515,41.17204,-76.6585617152133,41.0279212568455,-76.630763025254,40.9982459683445,2857,5288,411,2898,5066,586,3326,5063,0,3022,4658,647,3308,4315,700
"105","105","Potter",17457,67,2801172650.91122,207798.902638123,-78.206604,-77.598129,41.474801,42.000451,-77.8958140727261,41.7449210488306,-77.938521746984,41.8199989647991,1302,6251,231,1387,5990,323,1572,5968,0,1361,5753,418,1435,5603,497
"057","057","Fulton",14845,151,1134558352.34531,153470.824174911,-78.380599,-77.864489,39.722003,40.165131,-78.1126836647553,39.9253436202904,-78.0836693442622,39.9218725744298,912,5694,165,1025,5456,250,1277,5304,0,1078,5023,403,1203,4887,437
"053","053","Forest",7716,1389,1114980637.41806,182125.648220534,-79.522024,-78.95601,41.324135,41.626779,-79.2360118452713,41.5130724384206,-79.2264499480737,41.4963932468516,626,1683,92,708,1502,164,798,1540,0,813,1373,141,836,1321,164
"113","113","Sullivan",6428,168,1171955469.12637,141006.301558084,-76.813731,-76.220139,41.275629,41.590034,-76.5121412656015,41.446159120927,-76.484097575782,41.4674710881576,750,2291,95,867,2020,206,995,2040,0,953,1887,189,1006,1816,211
"023","023","Cameron",5085,13,1031893682.99649,145087.54128522,-78.421154,-77.988462,41.216931,41.618201,-78.2037774056888,41.4368044126044,-78.2447175871167,41.5026853629295,531,1589,66,593,1390,171,714,1404,0,670,1288,146,699,1247,154
