"Id1","Id2","McdFullName1","McdFullName2","Lv3Name1","Lv3Name2","PolyId1","PolyId2","Cou1Name1","Cou1Name2","Length"
"0396460000","0398616800","Richmond township","Woodcock township","","",1,1,"Crawford","Crawford",7589.49259987294
"0591764800","0595040000","Cumberland township","Monongahela township","","",1,1,"Greene","Greene",7588.60003619996
"1072291200","1073358400","Eldred township","Hegins township","","",1,1,"Schuylkill","Schuylkill",7586.08974664905
"0434559200","0438497600","Lykens borough","Wiconisco township","","",1,1,"Dauphin","Dauphin",7583.98180824774
"1095886400","1096921600","Penn township","Selinsgrove borough","","",1,1,"Snyder","Snyder",7583.78960630443
"0654588800","0658584000","McCalmont township","Winslow township","","",1,1,"Jefferson","Jefferson",7583.77381717245
"0277616800","0278654400","Taylor township","Worth township","","",1,1,"Centre","Centre",7581.79748742446
"1332146400","1334686400","East Manchester township","Manchester borough","","",1,1,"York","York",7577.98985447091
"1295512800","1295888000","North Huntingdon township","Penn township","","",1,1,"Westmoreland","Westmoreland",7577.67682949705
"0110834400","0111772000","Brecknock township","Cumru township","","",1,1,"Berks","Berks",7577.61420344101
"1110087600","1115470400","Allegheny township","Northampton township","","",1,1,"Somerset","Somerset",7574.77527282141
"1230902400","1231856000","Brokenstraw township","Deerfield township","","",1,1,"Warren","Warren",7574.70657679321
"0370568800","0377504800","Benton township","Sugarloaf township","","",1,1,"Columbia","Columbia",7571.27157525031
"0433204000","0998164000","Halifax township","Watts township","","",1,1,"Dauphin","Perry",7570.26237461513
"0593095200","0595040000","Greene township","Monongahela township","","",1,1,"Greene","Greene",7568.68869706909
"0533270400","1237751200","Harmony township","Triumph township","","",1,1,"Forest","Warren",7568.46219054089
"0792440000","0792742400","Exeter township","Franklin township","","",1,1,"Luzerne","Luzerne",7561.79556823185
"0851868800","0856300800","Delaware township","Pymatuning township","","",1,1,"Mercer","Mercer",7555.78755215086
"0112068000","0115667200","Earl township","Oley township","","",1,1,"Berks","Berks",7555.13860528769
"0298383200","0298416000","West Pikeland township","West Vincent township","","",1,1,"Chester","Chester",7552.37661667516
"0093965800","0093972000","Kimmel township","King township","","",1,1,"Bedford","Bedford",7550.74652315616
"0638341600","0656217600","West Mahoning township","Porter township","","",1,1,"Indiana","Jefferson",7548.7906293054
"0897488000","0897488800","Stroud township","Stroudsburg borough","","",1,1,"Monroe","Monroe",7548.01178228052
"1153746400","1157650400","Jackson township","Thompson township","","",1,1,"Susquehanna","Susquehanna",7546.92429397617
